referrer,views_total,views_unique
nutui.jd.com,4462,818
github.com,1461,298
Google,230,102
joyspace.jd.com,128,4
link.juejin.cn,92,65
link.zhihu.com,67,22
docs.qq.com,41,1
jdf2e.github.io,39,1
cn.bing.com,34,21
Baidu,27,20
