referrer,views_total,views_unique
nutui.jd.com,5014,980
github.com,1120,324
Google,246,137
link.juejin.cn,110,57
gitee.com,72,28
cn.bing.com,64,45
link.zhihu.com,36,26
Baidu,32,14
npmjs.com,18,6
joyspace.jd.com,15,3
