referrer,views_total,views_unique
nutui.jd.com,3295,641
github.com,489,125
Google,334,138
medium.com,146,50
cn.bing.com,139,63
gitee.com,127,13
Baidu,92,47
link.juejin.cn,37,20
Bing,29,15
npmjs.com,12,5
