time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-09 00:00:00+00:00,14,8,1088,189
2023-05-10 00:00:00+00:00,16,11,886,160
2023-05-11 00:00:00+00:00,16,13,1038,184
2023-05-12 00:00:00+00:00,22,9,938,167
2023-05-13 00:00:00+00:00,4,4,352,82
2023-05-14 00:00:00+00:00,2,2,266,52
2023-05-15 00:00:00+00:00,25,11,910,182
2023-05-16 00:00:00+00:00,6,5,991,164
2023-05-17 00:00:00+00:00,22,11,1032,175
2023-05-18 00:00:00+00:00,5,4,900,168
2023-05-19 00:00:00+00:00,9,7,817,162
2023-05-20 00:00:00+00:00,10,7,297,62
2023-05-21 00:00:00+00:00,4,3,214,61
2023-05-22 00:00:00+00:00,15,8,820,186
