referrer,views_total,views_unique
nutui.jd.com,3890,801
github.com,887,175
Google,428,135
cn.bing.com,154,56
npmjs.com,58,7
link.zhihu.com,56,27
wx.mail.qq.com,43,1
Bing,35,18
gitee.com,27,10
link.juejin.cn,26,19
