time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-16 00:00:00+00:00,23,6,238,71
2024-09-17 00:00:00+00:00,11,5,182,63
2024-09-18 00:00:00+00:00,21,9,604,151
2024-09-19 00:00:00+00:00,19,10,751,174
2024-09-20 00:00:00+00:00,55,10,526,159
2024-09-21 00:00:00+00:00,9,5,351,83
2024-09-22 00:00:00+00:00,9,6,124,48
2024-09-23 00:00:00+00:00,23,7,614,160
2024-09-24 00:00:00+00:00,4,4,556,167
2024-09-25 00:00:00+00:00,18,4,674,151
2024-09-26 00:00:00+00:00,16,7,574,156
2024-09-27 00:00:00+00:00,11,3,492,149
2024-09-28 00:00:00+00:00,10,5,194,62
2024-09-29 00:00:00+00:00,33,6,434,128
