referrer,views_total,views_unique
nutui.jd.com,6089,881
github.com,2022,344
link.juejin.cn,264,90
Google,261,84
Baidu,46,13
cn.bing.com,37,26
link.csdn.net,32,17
cz-git.qbb.sh,32,1
gitee.com,31,17
link.zhihu.com,25,21
