time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-02 00:00:00+00:00,26,12,1369,245
2023-03-03 00:00:00+00:00,5,5,830,201
2023-03-04 00:00:00+00:00,7,6,282,89
2023-03-05 00:00:00+00:00,5,5,333,79
2023-03-06 00:00:00+00:00,25,10,1235,213
2023-03-07 00:00:00+00:00,11,9,1267,224
2023-03-08 00:00:00+00:00,27,12,862,211
2023-03-09 00:00:00+00:00,70,13,1427,245
2023-03-10 00:00:00+00:00,37,10,1191,238
2023-03-11 00:00:00+00:00,4,4,353,110
2023-03-12 00:00:00+00:00,3,3,321,74
2023-03-13 00:00:00+00:00,6,6,1236,226
2023-03-14 00:00:00+00:00,16,15,854,222
2023-03-15 00:00:00+00:00,5,4,1007,232
