time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-30 00:00:00+00:00,6,6,162,74
2024-03-31 00:00:00+00:00,34,8,191,54
2024-04-01 00:00:00+00:00,58,13,935,177
2024-04-02 00:00:00+00:00,49,10,746,191
2024-04-03 00:00:00+00:00,11,9,651,158
2024-04-04 00:00:00+00:00,4,4,321,58
2024-04-05 00:00:00+00:00,7,7,271,51
2024-04-06 00:00:00+00:00,8,8,175,46
2024-04-07 00:00:00+00:00,59,13,761,154
2024-04-08 00:00:00+00:00,74,14,1114,246
2024-04-09 00:00:00+00:00,23,10,970,197
2024-04-10 00:00:00+00:00,132,19,1151,198
2024-04-11 00:00:00+00:00,34,12,971,197
2024-04-12 00:00:00+00:00,6,6,1290,274
