referrer,views_total,views_unique
nutui.jd.com,4335,802
github.com,1921,308
Google,189,97
cn.bing.com,80,36
link.juejin.cn,68,40
link.zhihu.com,42,26
Baidu,27,13
gitee.com,18,16
Bing,18,7
github1s.com,18,1
