time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-29 00:00:00+00:00,22,5,538,154
2024-07-30 00:00:00+00:00,22,11,965,167
2024-07-31 00:00:00+00:00,24,8,740,169
2024-08-01 00:00:00+00:00,19,7,506,145
2024-08-02 00:00:00+00:00,30,12,776,163
2024-08-03 00:00:00+00:00,4,4,298,83
2024-08-04 00:00:00+00:00,11,7,245,67
2024-08-05 00:00:00+00:00,17,12,835,176
2024-08-06 00:00:00+00:00,11,5,556,162
2024-08-07 00:00:00+00:00,17,9,825,156
2024-08-08 00:00:00+00:00,34,6,789,167
2024-08-09 00:00:00+00:00,13,6,591,147
2024-08-10 00:00:00+00:00,2,2,237,69
2024-08-11 00:00:00+00:00,6,4,227,56
