referrer,views_total,views_unique
nutui.jd.com,2298,540
Google,298,113
github.com,243,91
cn.bing.com,143,58
medium.com,107,47
Baidu,70,50
Bing,19,8
hellogithub.com,15,6
link.juejin.cn,13,12
gitee.com,8,5
