referrer,views_total,views_unique
nutui.jd.com,4875,1029
github.com,1474,325
Google,259,133
link.juejin.cn,93,44
cn.bing.com,72,42
gitee.com,39,24
link.zhihu.com,33,24
Baidu,22,17
npmjs.com,19,8
link.csdn.net,19,4
