referrer,views_total,views_unique
nutui.jd.com,3311,647
github.com,1126,250
Google,165,84
joyspace.jd.com,114,3
link.juejin.cn,73,50
docs.qq.com,41,1
link.zhihu.com,33,17
cn.bing.com,29,18
Baidu,14,12
cz-git.qbb.sh,13,1
