referrer,views_total,views_unique
nutui.jd.com,3363,558
github.com,484,130
Google,206,109
cn.bing.com,67,29
link.juejin.cn,53,24
Bing,39,9
Baidu,31,6
link.zhihu.com,29,14
gitee.com,26,3
ai2news.com,14,3
