referrer,views_total,views_unique
nutui.jd.com,3977,625
github.com,715,155
Google,279,126
link.juejin.cn,102,20
cn.bing.com,61,27
gitee.com,45,9
link.csdn.net,25,8
Bing,22,16
Baidu,20,8
npmjs.com,18,5
