referrer,views_total,views_unique
nutui.jd.com,4221,718
github.com,473,104
Google,306,127
cn.bing.com,95,40
gitee.com,83,11
Baidu,77,45
medium.com,74,28
Bing,38,24
link.juejin.cn,37,22
npmjs.com,17,4
