referrer,views_total,views_unique
nutui.jd.com,4276,913
github.com,589,157
Google,363,147
link.juejin.cn,209,84
cn.bing.com,96,62
Baidu,86,60
medium.com,63,25
Bing,39,17
npmjs.com,38,5
link.zhihu.com,32,24
