referrer,views_total,views_unique
nutui.jd.com,3823,786
github.com,651,173
Google,247,123
cn.bing.com,116,53
Baidu,73,47
medium.com,69,22
hellogithub.com,51,39
gitee.com,47,13
wx.mail.qq.com,28,1
link.juejin.cn,26,19
