time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-15 00:00:00+00:00,43,15,1020,240
2023-02-16 00:00:00+00:00,11,7,945,241
2023-02-17 00:00:00+00:00,13,10,1036,216
2023-02-18 00:00:00+00:00,5,5,406,106
2023-02-19 00:00:00+00:00,9,5,308,79
2023-02-20 00:00:00+00:00,13,9,1021,251
2023-02-21 00:00:00+00:00,22,12,1027,199
2023-02-22 00:00:00+00:00,6,5,945,199
2023-02-23 00:00:00+00:00,26,12,1058,220
2023-02-24 00:00:00+00:00,81,16,944,188
2023-02-25 00:00:00+00:00,13,8,403,102
2023-02-26 00:00:00+00:00,11,7,388,86
2023-02-27 00:00:00+00:00,23,15,1031,241
2023-02-28 00:00:00+00:00,10,7,1018,236
