referrer,views_total,views_unique
nutui.jd.com,2386,480
github.com,508,111
Google,175,97
cn.bing.com,75,20
gitee.com,47,6
Baidu,47,3
link.juejin.cn,36,15
link.zhihu.com,16,13
cnblogs.com,12,1
codeup.aliyun.com,8,1
