referrer,views_total,views_unique
nutui.jd.com,4605,727
github.com,976,189
Google,285,140
link.juejin.cn,158,32
cn.bing.com,95,42
Bing,44,12
link.zhihu.com,35,20
Baidu,32,7
npmjs.com,16,5
ai2news.com,14,3
