time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-08 00:00:00+00:00,8.0,5.0,207,56
2023-01-09 00:00:00+00:00,247.0,26.0,1034,239
2023-01-10 00:00:00+00:00,257.0,20.0,946,182
2023-01-11 00:00:00+00:00,157.0,20.0,1095,181
2023-01-12 00:00:00+00:00,152.0,25.0,1088,175
2023-01-13 00:00:00+00:00,48.0,11.0,785,207
2023-01-14 00:00:00+00:00,3.0,3.0,318,89
2023-01-15 00:00:00+00:00,2.0,2.0,355,73
2023-01-16 00:00:00+00:00,32.0,14.0,909,180
2023-01-17 00:00:00+00:00,101.0,16.0,748,136
2023-01-18 00:00:00+00:00,61.0,10.0,527,120
2023-01-19 00:00:00+00:00,2.0,2.0,210,61
2023-01-20 00:00:00+00:00,2.0,2.0,262,58
2023-01-21 00:00:00+00:00,,,170,65
