referrer,views_total,views_unique
nutui.jd.com,6209,911
github.com,2079,334
link.juejin.cn,271,89
Google,227,76
Baidu,59,17
cn.bing.com,44,26
gitee.com,41,23
cz-git.qbb.sh,32,1
link.zhihu.com,22,20
link.csdn.net,21,19
