url_path,views_total,views_unique
/jdf2e/nutui,1707,864
/jdf2e/nutui/issues,1158,404
/jdf2e/nutui/releases,349,239
/jdf2e/nutui/tree/next/src,301,156
/jdf2e/nutui/tree/next/src/packages,278,137
/jdf2e/nutui/discussions/1906,267,86
/jdf2e/nutui/pulls,257,29
/jdf2e/nutui/tree/next/src/packages/__VUE,196,97
/jdf2e/nutui/search,169,41
/jdf2e/nutui/tree/v4,138,22
