referrer,views_total,views_unique
nutui.jd.com,4647,727
github.com,1450,324
Google,150,60
link.juejin.cn,111,71
cn.bing.com,43,30
gitee.com,43,12
Baidu,35,25
m.baidu.com,27,3
oschina.net,26,15
link.csdn.net,19,16
