referrer,views_total,views_unique
nutui.jd.com,4393,718
github.com,928,173
Google,240,121
link.juejin.cn,168,26
cn.bing.com,73,42
link.zhihu.com,36,25
gitee.com,33,10
npmjs.com,28,11
Baidu,25,13
Bing,10,5
