referrer,views_total,views_unique
nutui.jd.com,5166,888
github.com,1214,230
Google,488,133
cn.bing.com,91,49
m.baidu.com,72,2
link.juejin.cn,69,43
Baidu,61,18
link.zhihu.com,47,29
gitee.com,34,17
Bing,26,15
