time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-30 00:00:00+00:00,108,15,1456,153
2023-10-31 00:00:00+00:00,22,7,926,186
2023-11-01 00:00:00+00:00,42,10,1048,151
2023-11-02 00:00:00+00:00,17,6,736,128
2023-11-03 00:00:00+00:00,57,11,631,140
2023-11-04 00:00:00+00:00,13,5,245,58
2023-11-05 00:00:00+00:00,3,3,160,60
2023-11-06 00:00:00+00:00,62,13,656,144
2023-11-07 00:00:00+00:00,56,7,911,173
2023-11-08 00:00:00+00:00,49,11,694,159
2023-11-09 00:00:00+00:00,75,10,955,149
2023-11-10 00:00:00+00:00,68,16,632,132
2023-11-11 00:00:00+00:00,2,2,155,51
2023-11-12 00:00:00+00:00,6,3,162,45
