referrer,views_total,views_unique
nutui.jd.com,4364,686
github.com,961,181
Google,270,134
link.juejin.cn,186,29
cn.bing.com,93,40
link.zhihu.com,36,21
Baidu,27,6
Bing,26,12
npmjs.com,16,5
ai2news.com,14,3
