referrer,views_total,views_unique
nutui.jd.com,3562,602
github.com,524,126
Google,243,130
medium.com,231,71
cn.bing.com,118,58
Baidu,72,33
gitee.com,72,17
Bing,45,17
link.juejin.cn,25,15
doubao.com,12,1
