referrer,views_total,views_unique
nutui.jd.com,5445,815
github.com,1698,323
Google,167,65
link.juejin.cn,125,86
Baidu,84,38
oschina.net,64,32
cn.bing.com,55,30
link.zhihu.com,45,21
link.csdn.net,34,22
gitee.com,32,11
