referrer,views_total,views_unique
nutui.jd.com,3258,817
github.com,583,152
Google,306,141
cn.bing.com,150,57
medium.com,85,37
Baidu,83,51
link.juejin.cn,58,24
hellogithub.com,47,37
gitee.com,31,9
Bing,24,14
