referrer,views_total,views_unique
nutui.jd.com,4194,781
github.com,668,168
Google,321,122
link.juejin.cn,113,28
link.zhihu.com,93,10
cn.bing.com,79,39
gitee.com,51,15
link.csdn.net,25,8
Baidu,23,13
npmjs.com,21,5
