time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-23 00:00:00+00:00,5,3,517,125
2024-08-24 00:00:00+00:00,11,6,207,58
2024-08-25 00:00:00+00:00,10,5,104,52
2024-08-26 00:00:00+00:00,9,5,500,137
2024-08-27 00:00:00+00:00,14,6,508,127
2024-08-28 00:00:00+00:00,18,8,628,136
2024-08-29 00:00:00+00:00,29,9,566,159
2024-08-30 00:00:00+00:00,22,7,996,126
2024-08-31 00:00:00+00:00,12,6,186,47
2024-09-01 00:00:00+00:00,16,7,217,42
2024-09-02 00:00:00+00:00,15,6,617,138
2024-09-03 00:00:00+00:00,18,6,517,148
2024-09-04 00:00:00+00:00,39,9,825,191
2024-09-05 00:00:00+00:00,13,5,796,165
