time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-05 00:00:00+00:00,15,7,797,166
2024-09-06 00:00:00+00:00,10,5,627,128
2024-09-07 00:00:00+00:00,7,4,166,53
2024-09-08 00:00:00+00:00,5,5,182,55
2024-09-09 00:00:00+00:00,11,7,833,146
2024-09-10 00:00:00+00:00,14,7,602,155
2024-09-11 00:00:00+00:00,17,6,611,142
2024-09-12 00:00:00+00:00,14,7,766,147
2024-09-13 00:00:00+00:00,12,4,635,131
2024-09-14 00:00:00+00:00,17,7,746,160
2024-09-15 00:00:00+00:00,6,4,254,60
2024-09-16 00:00:00+00:00,23,6,238,71
2024-09-17 00:00:00+00:00,11,5,182,63
2024-09-18 00:00:00+00:00,17,7,603,150
