time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-19 00:00:00+00:00,70,19,1007,161
2023-12-20 00:00:00+00:00,63,16,948,143
2023-12-21 00:00:00+00:00,165,34,1321,166
2023-12-22 00:00:00+00:00,70,22,960,168
2023-12-23 00:00:00+00:00,37,14,399,86
2023-12-24 00:00:00+00:00,76,16,356,61
2023-12-25 00:00:00+00:00,98,17,895,175
2023-12-26 00:00:00+00:00,43,11,1016,160
2023-12-27 00:00:00+00:00,29,11,601,156
2023-12-28 00:00:00+00:00,13,11,747,144
2023-12-29 00:00:00+00:00,5,5,724,139
2023-12-30 00:00:00+00:00,43,14,217,49
2023-12-31 00:00:00+00:00,4,4,185,43
2024-01-01 00:00:00+00:00,18,8,98,41
