time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-25 00:00:00+00:00,18,4,674,151
2024-09-26 00:00:00+00:00,16,7,574,156
2024-09-27 00:00:00+00:00,11,3,492,149
2024-09-28 00:00:00+00:00,10,5,194,62
2024-09-29 00:00:00+00:00,33,6,436,130
2024-09-30 00:00:00+00:00,24,6,384,97
2024-10-01 00:00:00+00:00,2,2,86,42
2024-10-02 00:00:00+00:00,8,6,138,34
2024-10-03 00:00:00+00:00,5,3,124,35
2024-10-04 00:00:00+00:00,9,6,73,44
2024-10-05 00:00:00+00:00,11,6,86,38
2024-10-06 00:00:00+00:00,4,2,132,51
2024-10-07 00:00:00+00:00,14,5,94,51
2024-10-08 00:00:00+00:00,1,1,418,129
