referrer,views_total,views_unique
nutui.jd.com,5233,845
github.com,907,169
Google,258,116
cn.bing.com,113,53
link.juejin.cn,34,22
npmjs.com,32,5
link.zhihu.com,31,20
wx.mail.qq.com,27,2
gitee.com,19,9
Bing,15,12
