referrer,views_total,views_unique
nutui.jd.com,3598,670
github.com,653,127
Google,278,137
medium.com,168,56
cn.bing.com,139,74
link.juejin.cn,71,22
Baidu,62,35
Bing,48,27
npmjs.com,45,11
link.zhihu.com,27,7
