referrer,views_total,views_unique
nutui.jd.com,3893,686
github.com,347,111
Google,334,141
cn.bing.com,146,57
medium.com,134,44
npmjs.com,105,3
Baidu,93,55
link.juejin.cn,54,13
Bing,45,18
gitee.com,20,11
