time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-29 00:00:00+00:00,2,2,1083,161
2023-06-30 00:00:00+00:00,12,7,769,160
2023-07-01 00:00:00+00:00,18,7,461,81
2023-07-02 00:00:00+00:00,12,7,188,66
2023-07-03 00:00:00+00:00,35,12,1154,189
2023-07-04 00:00:00+00:00,70,12,1227,185
2023-07-05 00:00:00+00:00,64,16,1045,234
2023-07-06 00:00:00+00:00,11,7,1159,206
2023-07-07 00:00:00+00:00,20,9,821,184
2023-07-08 00:00:00+00:00,6,4,494,84
2023-07-09 00:00:00+00:00,9,4,164,62
2023-07-10 00:00:00+00:00,62,14,1240,296
2023-07-11 00:00:00+00:00,73,14,1305,230
2023-07-12 00:00:00+00:00,55,12,1360,177
