time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-27 00:00:00+00:00,16,6,861,175
2024-06-28 00:00:00+00:00,17,8,490,133
2024-06-29 00:00:00+00:00,11,5,264,59
2024-06-30 00:00:00+00:00,11,6,229,46
2024-07-01 00:00:00+00:00,49,8,628,164
2024-07-02 00:00:00+00:00,37,10,943,180
2024-07-03 00:00:00+00:00,15,5,843,174
2024-07-04 00:00:00+00:00,25,11,631,156
2024-07-05 00:00:00+00:00,47,9,748,149
2024-07-06 00:00:00+00:00,13,8,242,63
2024-07-07 00:00:00+00:00,17,4,263,55
2024-07-08 00:00:00+00:00,19,9,622,194
2024-07-09 00:00:00+00:00,71,15,769,156
2024-07-10 00:00:00+00:00,20,10,727,170
