referrer,views_total,views_unique
nutui.jd.com,3417,765
github.com,468,133
link.juejin.cn,221,58
Google,199,112
medium.com,83,31
cn.bing.com,79,50
Baidu,70,53
51cto.com,48,3
webcache.googleusercontent.com,40,1
npmjs.com,34,5
