time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-09 00:00:00+00:00,71,15,769,156
2024-07-10 00:00:00+00:00,20,10,731,172
2024-07-11 00:00:00+00:00,14,7,668,185
2024-07-12 00:00:00+00:00,25,9,491,144
2024-07-13 00:00:00+00:00,23,7,298,60
2024-07-14 00:00:00+00:00,9,5,159,49
2024-07-15 00:00:00+00:00,21,11,729,151
2024-07-16 00:00:00+00:00,17,8,1044,187
2024-07-17 00:00:00+00:00,26,9,916,161
2024-07-18 00:00:00+00:00,26,10,1065,177
2024-07-19 00:00:00+00:00,19,6,879,160
2024-07-20 00:00:00+00:00,13,6,266,58
2024-07-21 00:00:00+00:00,16,6,216,49
2024-07-22 00:00:00+00:00,20,9,812,157
