referrer,views_total,views_unique
nutui.jd.com,5029,899
github.com,1219,214
Google,337,154
cn.bing.com,76,40
m.baidu.com,72,2
link.juejin.cn,60,44
link.zhihu.com,40,22
Baidu,38,17
gitee.com,27,11
Bing,15,10
