time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-31 00:00:00+00:00,31,13,894,184
2023-09-01 00:00:00+00:00,7,7,713,158
2023-09-02 00:00:00+00:00,22,8,742,82
2023-09-03 00:00:00+00:00,4,3,170,58
2023-09-04 00:00:00+00:00,29,14,823,140
2023-09-05 00:00:00+00:00,85,18,1261,177
2023-09-06 00:00:00+00:00,31,12,1156,190
2023-09-07 00:00:00+00:00,90,18,1044,176
2023-09-08 00:00:00+00:00,13,8,800,164
2023-09-09 00:00:00+00:00,4,4,261,64
2023-09-10 00:00:00+00:00,6,6,150,41
2023-09-11 00:00:00+00:00,61,12,1312,151
2023-09-12 00:00:00+00:00,43,13,1131,178
2023-09-13 00:00:00+00:00,8,6,780,166
