referrer,views_total,views_unique
nutui.jd.com,3520,661
github.com,1077,187
Google,266,115
link.juejin.cn,212,25
cn.bing.com,76,38
Baidu,33,8
link.zhihu.com,29,22
gitee.com,16,7
npmjs.com,14,6
Bing,9,5
