time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-28 00:00:00+00:00,78,13,1037,151
2023-11-29 00:00:00+00:00,19,12,1021,163
2023-11-30 00:00:00+00:00,48,15,1055,156
2023-12-01 00:00:00+00:00,9,7,831,141
2023-12-02 00:00:00+00:00,10,8,243,69
2023-12-03 00:00:00+00:00,6,5,232,66
2023-12-04 00:00:00+00:00,97,14,722,164
2023-12-05 00:00:00+00:00,29,15,834,177
2023-12-06 00:00:00+00:00,35,12,686,135
2023-12-07 00:00:00+00:00,65,16,797,156
2023-12-08 00:00:00+00:00,175,21,1081,143
2023-12-09 00:00:00+00:00,86,32,408,52
2023-12-10 00:00:00+00:00,8,8,231,60
2023-12-11 00:00:00+00:00,70,20,867,158
