referrer,views_total,views_unique
nutui.jd.com,4770,921
github.com,536,174
link.juejin.cn,466,178
Google,392,152
cn.bing.com,90,61
Baidu,85,57
medium.com,77,25
gitee.com,67,10
wx.mail.qq.com,59,1
hellogithub.com,30,25
