referrer,views_total,views_unique
nutui.jd.com,3160,632
github.com,356,106
Google,240,113
cn.bing.com,135,53
medium.com,105,37
Baidu,74,44
link.juejin.cn,58,16
Bing,46,21
npmjs.com,15,4
link.csdn.net,12,5
