referrer,views_total,views_unique
nutui.jd.com,4148,896
github.com,601,160
Google,238,134
link.juejin.cn,194,73
cn.bing.com,98,62
Baidu,84,60
medium.com,67,27
npmjs.com,40,6
Bing,37,16
link.zhihu.com,31,24
