time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-11 00:00:00+00:00,37,15,836,142
2024-05-12 00:00:00+00:00,9,4,186,52
2024-05-13 00:00:00+00:00,97,13,795,202
2024-05-14 00:00:00+00:00,53,14,952,206
2024-05-15 00:00:00+00:00,42,14,733,177
2024-05-16 00:00:00+00:00,55,11,909,176
2024-05-17 00:00:00+00:00,60,14,727,160
2024-05-18 00:00:00+00:00,63,12,198,53
2024-05-19 00:00:00+00:00,55,11,260,56
2024-05-20 00:00:00+00:00,29,14,910,176
2024-05-21 00:00:00+00:00,30,11,767,192
2024-05-22 00:00:00+00:00,17,6,768,180
2024-05-23 00:00:00+00:00,15,9,444,143
2024-05-24 00:00:00+00:00,70,13,535,144
