time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-10 00:00:00+00:00,6,6,981,152
2023-08-11 00:00:00+00:00,7,6,1106,166
2023-08-12 00:00:00+00:00,6,6,412,66
2023-08-13 00:00:00+00:00,6,6,376,59
2023-08-14 00:00:00+00:00,6,6,863,170
2023-08-15 00:00:00+00:00,5,4,801,182
2023-08-16 00:00:00+00:00,11,11,876,157
2023-08-17 00:00:00+00:00,19,8,834,167
2023-08-18 00:00:00+00:00,5,5,919,164
2023-08-19 00:00:00+00:00,8,7,311,65
2023-08-20 00:00:00+00:00,3,3,296,64
2023-08-21 00:00:00+00:00,9,7,803,154
2023-08-22 00:00:00+00:00,19,11,1543,203
2023-08-23 00:00:00+00:00,39,13,1127,226
