referrer,views_total,views_unique
nutui.jd.com,4130,807
github.com,662,152
Google,427,154
cn.bing.com,284,104
link.juejin.cn,193,32
Baidu,148,73
medium.com,47,18
gitee.com,40,12
hellogithub.com,34,8
wx.mail.qq.com,31,1
