referrer,views_total,views_unique
nutui.jd.com,3551,676
github.com,1433,263
joyspace.jd.com,169,3
Google,162,84
link.juejin.cn,95,52
Baidu,32,25
cn.bing.com,25,19
link.csdn.net,25,8
Bing,25,2
link.zhihu.com,19,17
