time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-23 00:00:00+00:00,1147.0,4.0,162,45
2023-01-24 00:00:00+00:00,6.0,3.0,103,39
2023-01-25 00:00:00+00:00,7.0,4.0,107,33
2023-01-26 00:00:00+00:00,7.0,4.0,92,37
2023-01-27 00:00:00+00:00,7.0,4.0,110,47
2023-01-28 00:00:00+00:00,8.0,5.0,457,105
2023-01-29 00:00:00+00:00,13.0,7.0,828,139
2023-01-30 00:00:00+00:00,21.0,11.0,966,176
2023-01-31 00:00:00+00:00,55.0,15.0,1021,197
2023-02-01 00:00:00+00:00,25.0,10.0,1057,246
2023-02-02 00:00:00+00:00,29.0,16.0,1664,371
2023-02-03 00:00:00+00:00,45.0,10.0,1010,263
2023-02-04 00:00:00+00:00,9.0,3.0,352,89
2023-02-05 00:00:00+00:00,,,171,55
