time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-09-25 00:00:00+00:00,3,3,283,67
2022-09-26 00:00:00+00:00,12,8,1275,245
2022-09-27 00:00:00+00:00,35,10,1643,302
2022-09-28 00:00:00+00:00,23,8,1269,228
2022-09-29 00:00:00+00:00,32,8,1106,203
2022-09-30 00:00:00+00:00,12,7,1242,203
2022-10-01 00:00:00+00:00,5,5,148,53
2022-10-02 00:00:00+00:00,1,1,72,36
2022-10-03 00:00:00+00:00,3,3,123,41
2022-10-04 00:00:00+00:00,4,4,168,44
2022-10-05 00:00:00+00:00,3,3,204,52
2022-10-06 00:00:00+00:00,2,2,238,75
2022-10-07 00:00:00+00:00,6,4,315,60
2022-10-08 00:00:00+00:00,10,6,841,192
