time_iso8601,stars_cumulative
2019-04-21 00:00:00+00:00,825
2019-04-22 00:00:00+00:00,849
2019-04-23 00:00:00+00:00,855
2019-04-24 00:00:00+00:00,863
2019-04-25 00:00:00+00:00,873
2019-04-26 00:00:00+00:00,882
2019-04-27 00:00:00+00:00,884
2019-04-28 00:00:00+00:00,889
2019-04-29 00:00:00+00:00,899
2019-04-30 00:00:00+00:00,903
2019-05-01 00:00:00+00:00,904
2019-05-03 00:00:00+00:00,907
2019-05-05 00:00:00+00:00,910
2019-05-06 00:00:00+00:00,913
2019-05-07 00:00:00+00:00,941
2019-05-08 00:00:00+00:00,950
2019-05-09 00:00:00+00:00,953
2019-05-10 00:00:00+00:00,956
2019-05-11 00:00:00+00:00,958
2019-05-13 00:00:00+00:00,961
2019-05-14 00:00:00+00:00,966
2019-05-15 00:00:00+00:00,969
2019-05-16 00:00:00+00:00,974
2019-05-17 00:00:00+00:00,976
2019-05-18 00:00:00+00:00,977
2019-05-19 00:00:00+00:00,979
2019-05-20 00:00:00+00:00,982
2019-05-21 00:00:00+00:00,985
2019-05-22 00:00:00+00:00,986
2019-05-23 00:00:00+00:00,992
2019-05-24 00:00:00+00:00,998
2019-05-25 00:00:00+00:00,999
2019-05-26 00:00:00+00:00,1000
2019-05-27 00:00:00+00:00,1004
2019-05-28 00:00:00+00:00,1006
2019-05-29 00:00:00+00:00,1009
2019-05-30 00:00:00+00:00,1012
2019-05-31 00:00:00+00:00,1021
2019-06-01 00:00:00+00:00,1022
2019-06-03 00:00:00+00:00,1027
2019-06-04 00:00:00+00:00,1029
2019-06-05 00:00:00+00:00,1032
2019-06-06 00:00:00+00:00,1039
2019-06-07 00:00:00+00:00,1040
2019-06-08 00:00:00+00:00,1041
2019-06-09 00:00:00+00:00,1047
2019-06-10 00:00:00+00:00,1052
2019-06-11 00:00:00+00:00,1055
2019-06-12 00:00:00+00:00,1058
2019-06-13 00:00:00+00:00,1061
2019-06-14 00:00:00+00:00,1064
2019-06-15 00:00:00+00:00,1066
2019-06-17 00:00:00+00:00,1070
2019-06-18 00:00:00+00:00,1072
2019-06-20 00:00:00+00:00,1074
2019-06-21 00:00:00+00:00,1076
2019-06-22 00:00:00+00:00,1079
2019-06-23 00:00:00+00:00,1081
2019-06-24 00:00:00+00:00,1083
2019-06-25 00:00:00+00:00,1087
2019-06-26 00:00:00+00:00,1097
2019-06-27 00:00:00+00:00,1101
2019-06-28 00:00:00+00:00,1105
2019-06-29 00:00:00+00:00,1106
2019-07-01 00:00:00+00:00,1111
2019-07-02 00:00:00+00:00,1112
2019-07-03 00:00:00+00:00,1116
2019-07-04 00:00:00+00:00,1117
2019-07-05 00:00:00+00:00,1123
2019-07-06 00:00:00+00:00,1125
2019-07-08 00:00:00+00:00,1127
2019-07-09 00:00:00+00:00,1128
2019-07-10 00:00:00+00:00,1129
2019-07-11 00:00:00+00:00,1131
2019-07-13 00:00:00+00:00,1132
2019-07-15 00:00:00+00:00,1133
2019-07-16 00:00:00+00:00,1135
2019-07-17 00:00:00+00:00,1138
2019-07-18 00:00:00+00:00,1139
2019-07-19 00:00:00+00:00,1141
2019-07-21 00:00:00+00:00,1142
2019-07-22 00:00:00+00:00,1143
2019-07-23 00:00:00+00:00,1144
2019-07-24 00:00:00+00:00,1148
2019-07-25 00:00:00+00:00,1151
2019-07-26 00:00:00+00:00,1154
2019-07-27 00:00:00+00:00,1155
2019-07-29 00:00:00+00:00,1156
2019-07-30 00:00:00+00:00,1157
2019-07-31 00:00:00+00:00,1161
2019-08-01 00:00:00+00:00,1170
2019-08-02 00:00:00+00:00,1172
2019-08-03 00:00:00+00:00,1173
2019-08-05 00:00:00+00:00,1174
2019-08-06 00:00:00+00:00,1176
2019-08-07 00:00:00+00:00,1180
2019-08-08 00:00:00+00:00,1183
2019-08-09 00:00:00+00:00,1185
2019-08-11 00:00:00+00:00,1186
2019-08-12 00:00:00+00:00,1190
2019-08-13 00:00:00+00:00,1191
2019-08-16 00:00:00+00:00,1196
2019-08-18 00:00:00+00:00,1197
2019-08-19 00:00:00+00:00,1200
2019-08-20 00:00:00+00:00,1205
2019-08-21 00:00:00+00:00,1207
2019-08-22 00:00:00+00:00,1208
2019-08-24 00:00:00+00:00,1209
2019-08-26 00:00:00+00:00,1210
2019-08-27 00:00:00+00:00,1212
2019-08-28 00:00:00+00:00,1213
2019-08-29 00:00:00+00:00,1216
2019-09-02 00:00:00+00:00,1217
2019-09-03 00:00:00+00:00,1219
